Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CACPRIAS08DMX01,C,10.0.40.12,DELL,OPTIPLEX 960,F5XLDP1,,,,,,,,,,,,,,BARRA 28,CAC PLAZA RIO
,C,192.1.209.237,HP,COMPAQ PRO 6305 SFF,MXL428291Q,,,,,,,,,,,,,,ANALISTA MESA CONTROL,ALFER 2DO PISO
