Nomenclatura,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CACRIOAS17DMX01           ,10.0.127.117,DELL,OptiPlex 990 ,J5SKXQ1        ,104000031750,DELL,E170S     ,CN-0HF0K3-64180-14E-06VL            ,104000031750,DELL,NY-U0003-DEL5,CN-0U474D-44751-15L-01TR-A02,DELL,MOCZUL,K0J00C6P,,,BARRA 17,CAC RIO
CACRIOAS18DMX01           ,10.0.127.118,DELL,OptiPlex 9010          ,CHQW6Y1        ,104000032182,DELL,E1713S    ,CN-0HX1KW-74261-37E-089U            ,104000032182,DELL,KB4021,CN-0DJ462-71581-5AC-00BC-A01,DELL,MS111-L,CN-09RRC7-48729-35Q-01QJ,,,BARRA 18,CAC RIO
CACRIOAS19DMX01           ,10.0.127.119,DELL,OptiPlex 9010          ,C2MV6Y1        ,104000032309,DELL,E1713S                       ,CN-0HX1KW-74261-37E-06DU                            ,104000032309,DELL,KB4021,CN-0DJ462-71581-367-058T-A00,DELL,MS111-L,CN-09RRC7-48729-35S-0TKU,,,BARRA 19,CAC RIO
CACRIOAS20DMX01,10.0.127.120,HP,EliteDesk 705 G1 SFF,MXL51524TP,104000032926,HP,V193B,3CQ5140DD3     ,104000032926,HP,KB57211,BDMHE0CHH7W7TQ,DELL,SM-2022,FCMHH0CJP7XKB3,,,BARRA 20,CAC RIO
CACRIOAS21DMX01           ,10.0.127.121,HP,EliteDesk 705 G1 SFF,MXL51524T8     ,104000032918,HP                 ,V193B,3CQ5140CJJ              ,104000032918,HP,KB57211,BDMHE0CHH7W5T0,HP,SM-2022,FCMHH0CJP7XKCR,,,BARRA 21,CAC RIO
CACRIOAS22DMX01           ,10.0.127.122,HP,EliteDesk 705 G1 SFF,MXL51524SM     ,104000032923,HP                                                        ,V193B                 ,3CQ5140CJM                              ,104000032923,HP,KB57211,BDMHE0CHH7W5T1,HP,SM-2022,FCMHHC0CJP7XHD8,,,BARRA 22,CAC RIO
CACRIOAS23DMX01           ,10.0.127.123,HP,EliteDesk 705 G1 SFF,MXL51524YC     ,104000032920,HP                 ,V193B,3CQ5140DCP              ,104000032920,HP,KB57211,BDMHE0CHH7W73T,DELL,SM-2022,FCMHH0CJP7XKYC,,,BARRA 23,CAC RIO
CACRIOAS24DMX01           ,10.0.127.124,HP,EliteDesk 705 G1 SFF,MXL51524SN     ,104000032919,HP                 ,V193B,3CQ5140CHP              ,104000032919,HP,KB57211,BDMHE0CHH7W7SE,HP,SM-2022,FCMHH0CJP7XBK,,,BARRA 24,CAC RIO
CACRIOAS25DMX01           ,10.0.127.125,DELL,OptiPlex 9010          ,CB0V6Y1        ,104000032183,DELL,E1713S               ,CN-0HX1KW-74261-37E-081U                            ,104000032183,DELL,KB4021,CN-0DJ462-71581-366-01MJ-A00,DELL,MS-111L,CN-09RRC7-48729-35R-12X6,,,BARRA 25,CAC RIO
CACRIOAS26DMX01           ,10.0.127.126,DELL,OptiPlex 9010          ,C53T6Y1        ,104000032184,DELL,E1713S    ,CN-0HX1KW-74261-37E-086U            ,104000032184,DELL,KB4021,CN-0DJ462-71581-46R-0308-A01,DELL,MS-111L,CN-09RRC7-48729-35S-OPLG,,,BARRA 26,CAC RIO
CACRIOAS27DMX01           ,10.0.127.127,DELL,OptiPlex 9010          ,C3KV6Y1        ,104000032185,DELL,E1713S    ,CN-0HX1KW-74261-37D-2YUU            ,104000032185,DELL,KB4021,CN-0DJ462-71581-367-02HM-A00,DELL,MS-111L,CN-09RRC7-48729-45U-0KR6,,,BARRA 27,CAC RIO
CACRIOAS28DMX01           ,10.0.127.128,DELL,OptiPlex 9010          ,C25W6Y1        ,104000032312,DELL,E1713S    ,CN-0HX1KW-74261-37E-06UU            ,104000032312,DELL,KB4021,CN-0DJ462-71581-367-03GT-A00,DELL,MS-111L,CN-09RRC7-48729-35Q-01VG,,,BARRA 28,CAC RIO
CACRIOAS29DMX01           ,10.0.127.129,DELL,OptiPlex 9010          ,CJZS6Y1        ,104000032186,DELL,E1713S    ,CN-0HX1KW-74261-37E-088U            ,104000032186,DELL,SK-8135,CN-0DJ375-71616-7AS-09PXQ-A01,DELL,MS-111L,CN-0DJ462-71581-36S-0PKJ,,,BARRA 29,CAC RIO
CACRIOAS30DMX01           ,10.0.127.130,DELL,OptiPlex 9010          ,CCDW6Y1        ,104000032198,DELL,E1713S    ,CN-0HX1KW-74261-37D-30AU            ,104000032198,DELL,KB4021,CN-0DJ462-71581-367-06QT-A01,DELL,MS-111L,CN-09RRC7-48729-35Q01-???,,,BARRA 30,CAC RIO
CACRIOAS31DMX01           ,10.0.127.131,DELL,OptiPlex 9010          ,C4QT6Y1        ,104000032196,DELL,E1713S    ,CN-0HX1KW-74261-37E-08DU            ,104000032196,DELL,KB4021,CN-0DJ462-71581-367-03DH-A00,DELL,MS-111L,CN-09RRC7-48729-35S-0PLB,,,BARRA 31,CAC RIO
CACRIOAS32DMX01           ,10.0.127.132,LENOVO         ,A002LM             ,MJ01PGHK       ,104000032759,LENOVO          ,E 1922 WD    ,V900FL78                ,104000032759,LENOVO,SK-8825,5093849,LENOVO,M-U0025-O,HS422HA34H4,,,BARRA 32,CAC RIO
CACRIOAS33DMX01,10.0.127.133,LENOVO,A002LM,MJ01PG7B,104000032760,LENOVO,E 1922 WD,V900FL72,104000032760,LENOVO,SK-8825,5099257,LENOVO,M-U0025-O,HS422HA34K5,,,BARRA 33,CAC RIO
CACRIOAS34DMX01           ,10.0.127.154,LENOVO         ,A002LM             ,MJ01PNX9       ,104000032761,LENOVO          ,E 1922 WD                       ,V900FL6W                                ,104000032761,LENOVO,KB1021,1594,LENOVO,M-U0025-O,HS42IHA112U,,,BARRA 34,CAC RIO
CACRIOAS35DMX01,10.0.127.155,LENOVO,A002LM,MJ01PG82,104000032762,LENOVO,E 1922 WD,V900FL71,104000032762,LENOVO,SK-8825,5099258,LENOVO,M-U0025-O,HS422HA34K7,,,BARRA 35,CAC RIO
CACRIOAS36DMX01           ,10.0.127.156,LENOVO         ,A002LM             ,MJ01PNPR       ,104000032763,LENOVO          ,E 1922 WD    ,V900FL65                ,104000032763,LENOVO,KB1021,1702,LENOVO,M-U0025-O,HS420HA1SK9,,,BARRA 36,CAC RIO
CACRIOAS37DMX01           ,10.0.127.157,LENOVO         ,A002LM             ,MJ01PGDG       ,104000032764,LENOVO          ,E 1922 WD    ,V900FL87                ,104000032764,LENOVO,SK-8825,5099248,LENOVO,M-U0025-O,HS422HA34HG,,,BARRA 37,CAC RIO
CACRIOAS38DMX01           ,10.0.127.158,LENOVO         ,A002LM             ,MJ01PNX5       ,104000032765,LENOVO          ,E 1922 WD                       ,V900FL6H                                ,104000032765,LENOVO,KB1021,1595,LENOVO,M-U0025-O,HS421HA112E,,,BARRA 38,CAC RIO
CACRIOAS39DMX01           ,10.0.127.159,LENOVO         ,A002LM             ,MJ01PP2J       ,104000032766,LENOVO          ,E 1922 WD                       ,V900FL76                                ,104000032766,LENOVO,KB1021,1560,LENOVO,M-U0025-O,HS421HAI378,,,BARRA 39,CAC RIO
CACRIOAS40DMX01           ,10.0.127.160,LENOVO         ,A002LM             ,MJ01PNSK       ,104000032767,LENOVO          ,E 1922 WD    ,V900FL5Z                ,104000032767,LENOVO,KB1021,1653,LENOVO,M-U0025-O,HS421HA111B,,,BARRA 40,CAC RIO
CACRIOAS41DMX01           ,10.0.127.161,LENOVO         ,A002LM             ,MJ01PGA5       ,104000032768,LENOVO          ,E 1922 WD                       ,V900FL6P                                ,104000032768,LENOVO,SK-8825,5096260,LENOVO,M-U0025-O,HS422HA34KC,,,BARRA 41,CAC RIO
CACRIOAS42DMX01           ,10.0.127.162,LENOVO         ,A002LM             ,MJ01PGDD       ,104000032769,LENOVO          ,E 1922 WD                       ,V900FM7L                                ,104000032769,LENOVO,SK-8825,5099294,LENOVO,M-U0025-O,HS423HA0VNX,,,BARRA 42,CAC RIO
CACRIOAS43DMX01           ,10.0.127.163,LENOVO         ,A002LM             ,MJ01PG8Q       ,104000032770,LENOVO          ,E 1922 WD    ,V9004L4Y                ,104000032770,LENOVO,SK-8825,5099294,LENOVO,M-U0025-O,HS423HA0VNX,,,BARRA 43,CAC RIO
CACRIOAS44DMX01,10.0.127.164,LENOVO,A002LM             ,MJ01PGAP,104000032771,LENOVO,E 1922 WD    ,V900FL6M,104000032771,LENOVO,SK-8825,5099254,LENOVO,M-U0025-O,HS423HA00R4,,,BARRA 44,CAC RIO
CACRIOAS46DMX01           ,10.0.127.166,DELL,OptiPlex 9010          ,C43T6Y1        ,104000032189,DELL,E1713S    ,CN-0HX1KW-74261-37F-209U            ,104000032189,DELL,KB-4021,CN-0DJ462-71581-367-06TG-A00,DELL,MS-111L,CN-09RRC7-48729-35S-0PLW,,,MODULO A (AS46),CAC RIO
CACRIOAS47DMX01           ,10.0.127.167,DELL,OptiPlex 9010          ,C9YW6Y1        ,104000032195,DELL,E1713S    ,CN-0HX1KW-74261-37E-08EU            ,104000032195,DELL,KB212-B,CN-0DJ462-71581-53D-000I-A01,DELL,MS-111L,CN-09RRC7-48729-35S-0PJF,,,MODULO B (AS47),CAC RIO
CACRIOAS48DMX01           ,10.0.127.168,DELL,OptiPlex 990           ,3B0SXQ1        ,104000031752,DELL,E170SC    ,CN-0HF0K3-64180-16A-188C            ,104000031752,DELL,KB522,CN-0XCRRN-751313-42M-00L9-A01,DELL,M-UAV-DEL8,LZ402DJ067G,,,MODULO C,CAC RIO
CACRIOCA01DMX01,10.0.127.146,HP,ELITE DESK 705 G1 SFF,MXL52226WQ,104000032972,HP,V193B,3CQ5140S3D,104000032972,HP,KB57211,BDMHE0CHH7W1EA,HP,SM-2022,FCMHH0C9Z8F0ZK,,,CAJA 1,CAC RIO
CACRIOCA02DMX01           ,10.0.127.147,HP,HP Compaq Pro 6305 SFF ,MXL3492H2W     ,104000032570,HP                 ,LV1911      ,6CM34311NW              ,104000032570,HP,KU-0316,BDALC0N5Y518L,HP,M-U0031-O,FCGLF0ECW5MJ1G,,,CAJA2,CAC RIO
CACRIOCA03DMX01           ,10.0.127.148,DELL,OptiPlex 960           ,74MZNN1        ,104000031566,DELL,E170S,CN-0U072N-64180-09G-51FC,1040000031566,DELL,L30U,CN-0N243F-73571-0AD-01B8-A01,DELL,MS-111L,CN-09RRC7-44751-08Q-13JF,,,CAJA 3,CAC RIO
CACRIOCA04DMX01           ,10.0.127.149,HP,HP Compaq Pro 6305 SFF ,MXL3492H2C     ,104000032571,HP                 ,LV1911      ,6CM34313FS              ,1040000032571,HP,KU-0316,BDALC0N5YC17E,HP,MOFXUO,FCGLF0EH5KIGU,,,CAJA 4,CAC RIO
CACRIOCA05DMX01           ,10.0.127.150,HP,HP Compaq Pro 6305 SFF ,MXL3492H1R     ,104000032569,HP                 ,LV1911      ,6CM34311PM              ,104000032569,HP,KU-0316,BDALC0N5Y5C17T,HP,MOFXUO,FCGLF0EHD5KII2,,,CAJA 5,CAC RIO
CACRIOJE01DMX01           ,10.0.127.30 ,DELL,OptiPlex 9010          ,CHST6Y1        ,104000032437,DELL,E1713S    ,CN-0HX1KW-74261-37F-1J9U            ,104000032437,DELL,KB4021,CN-0DJ462-71581-367-01L9A00,DELL,MS-111L,CN-09RRC7-48729-35Q-01VR,,,JEFATURA,CAC RIO
CACRIORE01DMX01           ,10.0.127.170,DELL,OptiPlex 9010          ,C98W6Y1        ,104000032188,DELL,E1713S    ,CN-0HX1KW-74261-37D-307U            ,104000032188,HP,KU-0316,CN-0DJ462-71581-39F-012K-A01,DELL,MS-111L,CN-09RRC7-48729-53H-0CW,,,RECEPCION,CAC RIO
CACRIOST01DMX01,10.0.127.141,DELL,OptiPlex 990           ,3BBWXQ1,104000031751,DELL,E170SC    ,CN-0HF0K3-64180-169-0FXC,104000031751,DELL,KB522,CN-0HF0K3-64180-169-0FXC,DELL,M-UAV-DEL8,LZ120B30A1V,,,SERTEC 01,CAC RIO
CACRIOST02DMX01           ,10.0.127.142,DELL,OptiPlex 9010          ,6STQVV1        ,104000032037,DELL,E170SB    ,CN-0JCT73-74261-293-0N7U            ,104000032037,DELL,KB212-B,CN-0KHCC7-71616-288-082J-A00,DELL,MS-111L,CN-09RRC7-44751-26O-0F4Q,,,SERTEC 02,CAC RIO
CACRIOST03DMX01           ,10.0.127.143,HP,HP EliteDesk 705 G1 SFF,MXL51524PL     ,104000032922,HP                                                        ,V193B                 ,3CQ5140DC9                              ,104000032922,HP,KB57211,BMHE0CHH7W7TN,HP,SM-2022,FCMHH0CJP7XKBM,,,SERTEC 03,CAC RIO
CACRIOST04DMX01           ,10.0.127.144,DELL,OptiPlex 9010          ,5JVTNW1        ,104000032100,DELL,E170S     ,CN-0JCT73-74261-2A4-1GKU            ,104000032100,DELL,KB522,CN-0586GK-75131-259-01UN-A03,DELL,MS-111L,CN-09RRC7-48729-2AF-0B92,,,SERTEC 04,CAC RIO
CACRIOSU01DMX01           ,10.0.127.151,DELL,OptiPlex 9010          ,F3NBTW1        ,104000032135,DELL,E1912H    ,CN-0R16JC-72872-2BU-A3LM            ,104000032135,DELL,KB212-B,CN-0DJ462-71581-366-06HJ-A00,DELL,MS-111L,CN-09RRC7-48729-3AZ-0MJ7,,,SUPERVISOR 1,CAC RIO
CACRIOSU02DMX01 ,10.0.127.152,DELL,OptiPlex 9010          ,C26W6Y1        ,104000032215,DELL,E1713S    ,CN-0HX1KW-74261-37D-2YNU            ,104000032215,DELL,KB212-B,CN-0DJ462-71581-367-02K4-A00,DELL,MS-111L,CN-09RRC7-48729-53J-0M0S,,,SUPERVISOR 2,CAC RIO
PRODIGY-RIO2 ,192.168.1.76,DELL,OPTIPLEX 990,3B9WXQ1,104000031753,DELL,E170SC,CN-0HF0K3-64180-14E-06RL,104000031753,DELL,L30U,CN-0N243F-73571-9AU-056A-A01,DELL,M-UAVDEL8,LZ113BW11YR,,,SERTEC-DESBLOQUEOS,CAC RIO
INFINITUM-RIO,192.168.1.75,Hewlett-Packard,HP EliteDesk 705 G1 SFF,MXL5242HSJ     ,104000033077,HP                 ,HP V193b       ,3CQ5270PK4              ,104000033077,HP,KU-1156,BDMHE0C5Y8N92R,HP,MOFYUO,FCMHH0AKZ8KQ9T,,,DESBLOQUEOS,CAC RIO
