Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TCO5DB801DMXR1,C,10.0.156.149,HP,COMPAQ PRO 6305 SFF,MXL41001HP,104000032654,,,,,,,,,,,,TCO5DB8,ANALISTA ATENCION DISTRIB,ALFER - 1er. PISO
TGE32D501LMXR1,L,192.1.202.142,DELL,LATITUDE E6430,DKCQTZ1,,,,,,,,,,,,,TGE32D5,JEFATURA DISTRIB.,ALFER - 1er. PISO
TGE3ACD01LMXR1,L,192.1.202.140,DELL,LATITUDE E6430,F6CQTZ1,,,,,,,,,,,,,TGE3ACD,,ALFER - 1er. PISO
TGE550201LMXR1,L,192.1.202.139,DELL,LATITUDE E6430,5NNQTZ1,,,,,,,,,,,,,TGE5502,ANALISTA DISTRIB.,ALFER - 1er. PISO
TIC03D901LMXR1,L,192.1.209.66,DELL,LATITUDE E6430,GWCQTZ1,,,,,,,,,,,,,TIC03D9,GERENTE IMP. Y CONTRUCC,ALFER - 2do. PISO
