Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CACRIOAS34DMX01,C,10.0.127.154,LENOVO,THINKCENTRE M79,MJ01PNX9,,,,,,,,,,,,,,BARRA 34,CAC RIO
MXTACRIOCOR23,I,10.0.127.242,HP,LASERJET M401DNE,PHGFB42257,105000031642,,,,,,,,,,,,,BARRA 33 Y 34,CAC RIO
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
