Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CACPLACA01DMX01,C,10.0.169.124,HP,COMPAQ PRO  6305 SFF,MXL3492H2N,,,,,,,,,,,,,,CAJA 01,CAC PLAZA RIO
CACMX2CA03DMX01,C,10.9.8.44,DELL,OPTIPLEX 960,C0FPJM1,,,,,,,,,,,,,,CAJA 03,CAC MEXICALI 2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
