Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TAC5C4201LMXR1,L,192.1.202.164,DELL,LATITUDE E6430,1B3N7W1,,,,,,,,,,,,,TAC5C42,JEFE OPERACIONES CACS,ALFER - 2do. PISO
TOPE1D901DMXR1,C,192.1.209.240,DELL,OPTIPLEX 990,97J20R1,,,,,,,,,,,,,TOPE1D9,ANALISTA - MESA DE CONTROL,ALFER - 2do. PISO
TOP1D1E01DMXR1,C,192.1.209.246,DELL,OPTIPLEX 990,J5JNXQ1,,,,,,,,,,,,,TOP1D1E,ANALISTA - MESA DE CONTROL,ALFER - 2do. PISO
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
