Nomenclatura,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
,10.0.132.138,,Dell Optiplex 9010,5GVVNW1,1.04E+11,,,,,,,,,,,,,RECEPCION 1 :,CAC MONARCA
,10.0.132.71,,Dell Optiplex 9010,CM3W6Y1,1.04E+11,,,,,,,,,,,,,RECEPCION 2,CAC MONARCA
,,,Epson TM-T88V,MXKF164513,1.05E+11,,,,,,,,,,,,,Recepcion,CAC MONARCA
,10.0.132.105,,Dell Optiplex 9010,CDJ16Y1,1.04E+11,,,,,,,,,,,,,Barra 5,CAC MONARCA
,10.0132.222,,HP LJ 401dne,VNG5K02682,1.05E+11,,,,,,,,,,,,,Barra 5 y 6,CAC MONARCA
,10.0.132.106,,Dell Optiplex 9010,CL8T6Y1,1.04E+11,,,,,,,,,,,,,Barra 6   ,CAC MONARCA
,10.0.132.107,,Dell Optiplex 9010,CM9V6Y1,1.04E+11,,,,,,,,,,,,,Barra 7,CAC MONARCA
,10.0.132.223,,HP LJ 401dne,VNG5K02686,1.05E+11,,,,,,,,,,,,,Barra 7 y 8,CAC MONARCA
,10.0.132.224,,Dell Optiplex 9010,CGQW6Y1,1.04E+11,,,,,,,,,,,,,Barra 8   ,CAC MONARCA
,10.0.132.109,,Dell Optiplex  9010,CGGW6Y1,1.04E+11,,,,,,,,,,,,,Barra 9   ,CAC MONARCA
,10.0.132.224,,HP LJ 401 dne,VNG5K02694,1.05E+11,,,,,,,,,,,,,Barra 9 y 10,CAC MONARCA
,,,,,1.04E+11,,,,,,,,,,,,,Barra 10,CAC MONARCA
,10.0.132.110,,Dell Optiplex 9010,CM0W6X1,1.04E+11,,,,,,,,,,,,,Barra 11   ,CAC MONARCA
,10.0.132.225,,HP LJ 401 dne,VNG5K02680,1.05E+11,,,,,,,,,,,,,Barra 11 y 12,CAC MONARCA
,10.0.132.112,,Dell Optiplex 9010,CDLV6Y1,1.04E+11,,,,,,,,,,,,,Barra 12  ,CAC MONARCA
,10.0.132.113,,Dell Optiplex 9010,CQ8W6Y1,1.04E+11,,,,,,,,,,,,,Barra 13  ,CAC MONARCA
,10.0.132.226,,HP LJ 401dne,VNG5K02698,1.05E+11,,,,,,,,,,,,,Barra 13 y 14     ,CAC MONARCA
,,,Dell Optiplex 9010,CCXT6Y1,1.04E+11,,,,,,,,,,,,,Barra 14  ,CAC MONARCA
,,,Dell Optiplex 9010,CG2T6Y1,1.04E+11,,,,,,,,,,,,,Barra 15 ,CAC MONARCA
,10.0.132.227,,HP LJ 401 dne,VNG5K02687,1.05E+11,,,,,,,,,,,,,Barra 15 y 16,CAC MONARCA
,,,Dell Optiplex 9010,CD2V6Y1,1.04E+11,,,,,,,,,,,,,Barra 16,CAC MONARCA
,,,Dell Optiplex 9010,CDFW6Y1,1.04E+11,,,,,,,,,,,,,Barra 17,CAC MONARCA
