Nomenclatura,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
CCTRIOCA01DMX01,10.0.17.15,DELL,OPTIPLEX 960,74D2PN1,104000031575,DELL,E170C,CN-0U072N-64180-0AB4-BHU,104000031575,DELL,N30U,CN-0N243F-73571-0AD-01C8-A01,DELL,MS-111-L,CN-09RRRC744751-094-0M69,,,CAJA 01,CCT PLAZA RIO
CCTRIOCA02DMX01,10.0.17.16,DELL,OPTIPLEX 960,74KZNN1,104000031574,DELL,E170SC,CN-0U72N-64180-09VG-502C,104000031574,DELL,SK-8135,CN-0DJ375-71616-718-1865,DELL,MS-111-L,CN-09RRC7-44751-08Q-133S,,,CAJA02,CCT PLAZA RIO
,10.0.17.221,HP-I,LASERJET P4015,CNDY816425,10500031003,,,,,,,,,,,,,CAJAS,CCT PLAZA RIO
CCTRIOVT01DMX01,10.0.17.11,DELL,OPTIPLEX 9010,C78G6Y1,104000032494,DELL,E1713SC,CN-0JURMG-64180-367-0NXU,104000032494,DELL,KB-212,CN-0XCRRN-75131-3CN-00JN-A00,DELL,MS-111-L,CN-09RR674729-25R-12WM,,,VENTAS 01,CCT PLAZA RIO
CCTRIOVT02DMX01,10.0.17.12,DELL,OPTIPLEX 9010,C8126Y1,104000032498,DELL,E170SC,CN-0HX1KW74281-T6I-258U,104000032498,DELL,KB-212,CN-0DJ462-71581366-05WI-A00,DELL,MS-111-L,CN-09RRC7-4872935-Q0238,,,VENTAS 02,CCT PLAZA RIO
CCTRIOVT03DMX01,10.0.17.13,DELL,OPTIPLEX 9010,C64W6Y1,104000032497,DELL,E1713S,CN-0HXHKW-74261-36I-259U,104000032497,DELL,KB-212,ODJ462-71581-366-06WE-A06,DELL,MS-111-L,CN-09RRC748729-35U-0J8H,,,VENTAS 03,CCT PLAZA RIO
USAB,,XEROX-E,DOCUMATE 3125,44EHL50293,105000031567,,,,,,,,,,,,,,CCT PLAZA RIO
CCTRIOAC01DMX01,10.0.17.19,HP,ELITEDESK 705 G1,MXL5242HS9,104000033074,HP,193V,3CQ3270PK6,104000033074,HP,SM-2022,FCMHH0CQW8A07R,HP,KU-156,BDMHE0CVB8H14E,,,ALMACEN ,CCT PLAZA RIO
,10.0.17.220,HP-I,P2055DN,VNB3R12878,105000031185,,,,,,,,,,,,,,
