Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TR13EF601LMXR1,L,192.1.209.140,DELL,LATITUDE E6430,8LQ4CW1,,,,,,,,,,,,,3EF6,JEFATURA INTEGRACION,ALFER - 1er. PISO
TGR72EC01DMX01,C,192.1.21.78,HP,COMPAQ PRO 6305 SFF,MXL41901J8,,,,,,,,,,,,,72EC,ANALISTA DISTRIBUIDORES,ALMACEN CENTRAL 5 Y 10
TOM205701LMXR1,L,192.1.209.173,LENOVO,20DEA00SLM,PF0421JC,,,,,,,,,,,,,2057,ANALISTA OYM,ALFER - 1er. PISO
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
