Nomenclatura,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación,
,,,Dell Optiplex  GX620,829T591,104000030718,,E176FPC,CN-0MC040-64180-62P-0G1S,1.04E+11,DELL,SK-8135,CN-0DJ375-71616-77T-02I0,,MS-111L,CN-09RRC7-48729-35Q-024Y,,,SERTEC:,CAC MONARCA,
,,,HP LJ 401dne,VNG5K02689,105000031388,,,,,,,,,,,,,SERTEC:,CAC MONARCA,
,,,Dell Optiplex 9010,C58W6Y1,104000032438,,Dell E1713SB,CN-0HX1KW-74261-37F-0LEU,1.04E+11,DELL,Dell KB212-B,CN-0D462-71581-367-02K7-A00,DELL,MS-111l,CN-09RRC7-48729-35S-02MK,,,MODULO B,CAC MONARCA,
,,,HP LJ M401dne,VNG5K02685,105000031386,,,,,,,,,,,,,MODULO B,CAC MONARCA,
,,,Dell Optiplex 9010,C4JV6Y1,104000032439,,,,,,,,,,,,,MODULO C,CAC MONARCA,
,USB,,HP LJ M401dne,VNB5P04002,105000031393,,,,,,,,,,,,,MODULO C,CAC MONARCA,
,,,Dell Optiplex 990,3BX8KS1,104000032296,,,,,,,,,,,,,JEFATURA,CAC MONARCA,
,,,HP OFFICEJET Pro 8100,CN3A8EVGX1,105000031394,,,,,,,,,,,,,JEFATURA,CAC MONARCA,
,,,Epson TM-88IV,J4BG301794,105000030756,,,,,,,,,,,,,RELOJ CHECADOR,CAC MONARCA,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
