Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
,I,10.0.146.113,,,PHGFF21130,104000031580,,,,,,,,,,,,,TELEFONICO 2,CAE RIO
,I,10.0.146.112,,,VNG4X13392,,,,,,,,,,,,,,TELEFONICO 1,CAE RIO
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
