Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TGED82D01LMXR1,C,192.1.202.144,DELL,LATITUDE E6430,JPXL7W1,,,,,,,,,,,,,TGED82D,ANALISTA APLICACIÓN DATOS,ALFER - 1er. PISO
,C,192.1.203.109,HP,COMPAQ PRO 6305 SFF,MXL41001HP,,,,,,,,,,,,,,ANALISTA DISTRIBUIDORES,ALFER - 1er. PISO
,I,10.0.156.149,LEXMARK,MX711,CAB16179476A,,,,,,,,,,,,,,MERCADOTECNIA,ALFER - 1er. PISO
