Nomenclatura,Componente,IP,Marca_g,Modelo_g,Serie_g,Inventario_g,Marca_m,Modelo_m,Serie_m,Inventario_m,Marca_t,Modelo_t,Serie_t,Marca_r,Modelo_r,Serie_r,Serie_Pila,Usuario_Univ,Posicion,Ubicación
TVC8E0201LMX01,L,10.1.34.110,DELL,LATITUDE E6430,1GGRRY1,,,,,,,,,,,,,TVC8E02,ANALISTA,CAE CABO SAN LUCAS
TCO25F301LMX01,L,192.1.205.31,DELL,LATITUDE E6430,DFCM7W1,,,,,,,,,,,,,TCO25F3,JEFATURA OYM,CAC LA PAZ
TVC154901LMX01,L,10.0.146.80,DELL,LATITUDE E6430,99YL7W1,,,,,,,,,,,,,TVC1549,ANALISTA,CAE RIO
TGR50E101DMX01,C,192.1.205.12,DELL,OPTIPLEX 9010,5D7VNW1,,,,,,,,,,,,,TGR50E1,ALMACEN,CAD LA PAZ
TATJJJJ01DMXR1,C,10.0.146.23,DELL,OPTIPLEX 990,CYDVHS1,104000031878,,,,,,,,,,,,,VENDEDOR,CAE RIO - TELEFONICO
TATE77C01DMXR1,C,10.0.146.32,DELL,OPTIPLEX 990,5L485V1,104000031955,,,,,,,,,,,,,VENDEDOR,CAE RIO - TELEFONICO
TATIIII01DMXR1,C,10.0.146.22,DELL,OPTIPLEX 990,CYMZHS1,104000031889,,,,,,,,,,,,,VENDEDOR,CAE RIO - TELEFONICO
